original,standard
中科院金属研究所,中国科学院金属研究所
中科院长春光学精密机械与物理研究所,中国科学院长春光学精密机械与物理研究所
高能物理研究所,中国科学院高能物理研究所
中国航天科工集团公司第三研究院,中国航天科工集团有限公司第三研究院
中国航天科工集团第三研究院,中国航天科工集团有限公司第三研究院
北京空天技术研究所,中国航天科工集团有限公司第三研究院(301所)
中国航天科工集团公司第三研究院（31所）,中国航天科工集团有限公司第三研究院(31所)
中国航天科工集团公司第三研究院（33所）,中国航天科工集团有限公司第三研究院(33所)
中国航天科工集团公司第三研究院（35所）,中国航天科工集团有限公司第三研究院(35所)
中国航天科工集团公司第三研究院（8358所）,中国航天科工集团有限公司第三研究院(8358所)
航天科工集团三院8358所,中国航天科工集团有限公司第三研究院(8358所)
中国航天科工集团公司第三研究院（8359所）,中国航天科工集团有限公司第三研究院(8359所)
北京特种机械研究所,中国航天科工集团有限公司第三研究院(8359所)
中国航天科工集团公司第三研究院（第三总体设计部）,中国航天科工集团有限公司第三研究院(第三总体设计部)
北京机电工程研究所,中国航天科工集团有限公司第三研究院(第三总体设计部)
中国航天二院,中国航天科工集团有限公司第二研究院
中国航天二院研究生院,中国航天科工集团有限公司第二研究院
中国航天科工集团公司第二研究院,中国航天科工集团有限公司第二研究院
中国航天科工集团第二研究院,中国航天科工集团有限公司第二研究院
中国航天科工集团公司第二研究院（17所）,中国航天科工集团有限公司第二研究院(17所)
中国航天科工集团公司第二研究院（206所）,中国航天科工集团有限公司第二研究院(206所)
中国航天科工集团公司第二研究院（207所）,中国航天科工集团有限公司第二研究院(207所)
中国航天科工集团公司第二研究院（23所）,中国航天科工集团有限公司第二研究院(23所)
中国航天科工集团公司第二研究院（25所）,中国航天科工集团有限公司第二研究院(25所)
中国航天科工集团公司第二研究院（706所）,中国航天科工集团有限公司第二研究院(706所)
中国航天科工集团公司第二研究院（710所）,中国航天科工集团有限公司第二研究院(710所)
中国航天科技集团公司第二研究院（第二总体设计部）,中国航天科工集团有限公司第二研究院(第二总体设计部)
中国航天科工集团061基地,中国航天科工集团有限公司第十研究院
中国航天科工集团公司第十研究院,中国航天科工集团有限公司第十研究院
中国航天科工集团第十研究院,中国航天科工集团有限公司第十研究院
中国航天科技集团公司第一研究院,中国航天科技集团有限公司第一研究院
中国运载火箭技术研究院,中国航天科技集团有限公司第一研究院
中国航天科技集团公司第一研究院（12所）,中国航天科技集团有限公司第一研究院(12所)
中国航天科技集团公司第一研究院（14所）,中国航天科技集团有限公司第一研究院(14所)
中国航天科技集团公司第一研究院（15所）,中国航天科技集团有限公司第一研究院(15所)
中国航天科技集团公司第一研究院（18所）,中国航天科技集团有限公司第一研究院(18所)
中国航天科技集团公司第一研究院（703所）,中国航天科技集团有限公司第一研究院(703所)
中国航天科技集团公司第一研究院（第一总体设计部）,中国航天科技集团有限公司第一研究院(第一总体设计部)
中国航天科技集团公司航天时代电子公司（13所）,中国航天科技集团有限公司第九研究院(13所)
北京航天控制仪器研究所,中国航天科技集团有限公司第九研究院(13所)
